nama_product,brand,shop_id,shop_city,isOfficial,isVerified,price,terjualCount,ratingAverage,viewCount,likedCount,jenis
soap&glory face soap and clarity facial wash 350ml,Others,56543541,KOTA JAKARTA PUSAT,False,False,199000,101,4.97,378,98,Facial Wash
ms glow for man / ms glow men paket / skincare cowok / facial wash ms glow men,MS Glowmen,308843021,KAB. SIDOARJO,False,True,199000,18,5.0,130,0,Facial Wash
lacoco ultimate golden swallow facial foam - penghilang jerawat bekas jerawat flek hitam,Lacoco En Nature,310788986,KAB. TEGAL,False,False,198000,1309,5.0,15,1,Facial Wash
ms glow paket wajah toner facial wash night cream day cream skincare anti acne aging tjblc1,Ms glow,357964319,KOTA DENPASAR,False,True,192000,12807,4.86,28947,857,Facial Wash
qq 27’s rose gold rice facial foam 100ml original,Others,60793157,KOTA TANJUNG PINANG,False,False,190000,70,4.97,505,31,Facial Wash
m-joptim amino acid gentle facial wash,Others,386393714,KOTA SURABAYA,False,False,190000,171,5.0,526,56,Facial Wash
m-joptim amino acid gentle facial wash 150 ml,M-Joptim,391552814,KOTA JAKARTA BARAT,False,False,190000,10,4.67,82,1,Facial Wash
paket double cleansing facial wash charcoal,Paket,112233272,KAB. BANDUNG,False,True,190000,6,5.0,1,0,Facial Wash
loreal paris crystal aura skin essential kit esssence & facial cleanser wash skin care,L'Oreal Paris,62579622,KOTA JAKARTA UTARA,True,False,188700,467,4.94,2844,344,Facial Wash
original the body shop drops of light brightening & skin defence facial wash peel day cream serum,Others,106281339,KOTA TANGERANG SELATAN,False,False,188300,178,4.92,1115,170,Facial Wash
facial wash brightening pink  glafidsya  skincare  kosmetik,Glafidsya Medika,116310944,KOTA TANGERANG SELATAN,False,True,185000,279,4.9,488,139,Facial Wash
paket glowing facialwash 200ml,Colista,169824666,KOTA SURABAYA,False,True,185000,1006,4.83,130,0,Facial Wash
facial wash acne dyyorc,Others,187061689,KAB. BOGOR,False,False,185000,144,4.81,107,194,Facial Wash
face wash facewash facial cleanser skincare skin care perawatan kecantikan pembersih kulit wajah ori,Face,358675890,KOTA JAKARTA BARAT,False,False,182140,21,5.0,22,0,Facial Wash
facial wash acne 1,Glafidsya Medika,116310944,KOTA TANGERANG SELATAN,False,True,182000,161,4.92,307,15,Facial Wash
lion pair acne creamy foam facial washing foam 80g sabun pembersih muka,Lion Japan,27999621,Luar Negeri,False,True,180491,671,4.92,0,310,Facial Wash
dr ertos acne expert facial wash,Others,96907343,KOTA JAKARTA TIMUR,True,False,180000,45,5.0,739,38,Facial Wash
golden viera paket 5 bar bayar ditempat original free tempat sabun + jaring wash wajah facial,Golden Viera,159288014,KAB. SLEMAN,False,True,180000,396,4.96,288,77,Facial Wash
paket hemat facial wash dan serum,Others,351093979,KAB. SIDOARJO,False,True,179450,113,4.81,814,47,Facial Wash
zalfa natural skincare lightening series paket cream wajah dan facial wash,Zalfa,15608379,KOTA TANGERANG,False,True,178000,540,4.97,454,763,Facial Wash
zalfa natural skincare lightening series paket perawatan wajah cream siang malam facial wash,Others,15608379,KOTA TANGERANG,False,True,178000,392,4.98,989,759,Facial Wash
sabun penghilang jerawat  sabun wajah glumory blackpink soap 1pack isi 3pcs  sabun pemutih wajah,Others,174841762,KAB. KULON PROGO,False,False,178000,1200,5.0,16,1,Facial Wash
skincare  whitening daycream nightcream sabun muka,Others,19570015,KOTA CIMAHI,False,False,177630,242,4.91,89,22,Facial Wash
paket pixy white aqua  day cream / night cream / brightening serum /  gentle facial wash,Pixy,58456927,KOTA SURABAYA,False,True,176249,86,4.87,582,148,Facial Wash
loreal paris brightening essential set – facial wash & day cream skin care,L'Oreal Paris,62579622,KOTA SEMARANG,True,False,175800,421,4.93,5067,244,Facial Wash
ready stock calys brightening and hydrating toner + facial wash 2 in 1 bundling package,Others,184941793,KOTA JAKARTA BARAT,False,True,175000,1661,4.86,1762,1834,Facial Wash
simple perawatan kulit wajah kind to skin refreshing facial wash 150 ml kemasan baru,Others,273938255,KOTA JAKARTA BARAT,False,True,175000,6710,4.9,2006,4679,Facial Wash
ponds age miracle face serum 30 ml & ponds age miracle facial foam 100g,Pond's,14318452,KOTA BEKASI,True,False,173300,8950,4.93,13223,1449,Facial Wash
propolis facial wash gel bee botanics hdi,Others,119627008,KOTA JAKARTA TIMUR,False,False,170000,66,5.0,165,29,Facial Wash
sabun muka facial wash gel bee botanics new expired panjang,Muka,288600504,KOTA JAKARTA PUSAT,False,False,170000,1240,5.0,24,4,Facial Wash
sabun muka facial wash gel bee botanics new original,Others,67203797,KOTA JAKARTA BARAT,False,False,170000,300,5.0,2,1,Facial Wash
szava whitening cream day & night gratis facial wash,Szava Cosmetics,32333274,KOTA JAKARTA SELATAN,False,True,169800,417,4.95,162,20,Facial Wash
facial wash 250gr,Others,335924939,KOTA MEDAN,False,False,169000,10,0.0,3,0,Facial Wash
kiehls kiehls calendula deep cleansing foaming face facial wash 75ml & 230ml  cleanser 75/230 ml ,Others,9880269,KOTA JAKARTA SELATAN,False,True,169000,558,4.94,603,374,Facial Wash
bpom innisfree bija trouble series facial foamspot essencetonerlotionbalmcleansing gelmask,Innisfree,920406,KOTA JAKARTA BARAT,False,True,169000,1346,4.92,3295,847,Facial Wash
simple moisturising facial wash 150ml,Simple,47255270,KOTA BANDUNG,True,False,168900,28,4.92,1111,134,Facial Wash
sabun cuci muka  cleanser celles tiane  skincare tiens  tianshi,Others,69653018,KOTA YOGYAKARTA,False,False,168780,2276,5.0,113,11,Facial Wash
the aesthetics skin calendula facial wash,Others,211430437,KOTA BOGOR,False,True,168000,114,4.92,447,130,Facial Wash
cetaphil gentle skin cleanser 500ml promo diskon / facial wash / kulit sensitif / kering/ pelembab,Cetaphil,121791179,KAB. TANGERANG,True,False,167200,2798,4.89,10745,3479,Facial Wash
msbb - lacoco ultimate golden swallow facial foam,Lacoco En Nature,288588702,KOTA TANGERANG SELATAN,True,False,165000,163,4.9,1650,117,Facial Wash
msbb - lacoco ultimate golden swallow facial foam,Lacoco En Nature,288588702,KOTA TANGERANG SELATAN,True,False,165000,163,4.9,1650,117,Facial Wash
paketglowing collagen meronah pemutih wajah sabun wajah collagen & cream meronah cantik natural,Others,124897209,KOTA SURABAYA,False,True,165000,877,4.69,1005,301,Facial Wash
scarlett bundle acne series: acne serum acne day cream acne night cream facial wash,Scarlett,12649378,KOTA SURABAYA,False,True,165000,10,5.0,247,8,Facial Wash
vloowless facial wash with saffron,Others,129341658,KOTA SAMARINDA,False,False,165000,1818,4.88,502,316,Facial Wash
flashsale lacoco ultimate golden swallow sabun muka pencuci wajah  menghilangkan jerawat,Lacoco En Nature,188415853,KOTA JAKARTA TIMUR,False,False,165000,63,0.0,4,0,Facial Wash
lacoco ultimate golden swallow facial foam - menghilangkan jerawat,Lacoco,81817528,KOTA JAKARTA TIMUR,False,False,165000,966,5.0,13,2,Facial Wash
paket wajah facial wash  acne serum  brightly ever after serum,Others,29912143,KOTA JAKARTA TIMUR,False,True,165000,102,4.88,137,35,Facial Wash
paket scarlett cream acne & brightly   day+night+serum+facial wash,Scarlett,11856776,KOTA JAKARTA BARAT,False,True,165000,530,4.87,2581,239,Facial Wash
paket krim meronah dan mouisturizer brightening facial wash,Meronah,117878500,KAB. SUKOHARJO,False,False,165000,292,5.0,62,7,Facial Wash
lacoco golden swallow facial foam original sabun pembersih wajah,Others,238602852,KAB. CIAMIS,False,True,165000,652,4.91,937,101,Facial Wash
lacoco ultimate golden swallow facial foam menghilangkan jerawat & komedo pembersih wajah,Lacoco En Nature,328124922,KAB. CIAMIS,False,False,165000,101,5.0,7,1,Facial Wash
lacoco ultimate golden swallow facial foam original,Others,217439320,KAB. CIAMIS,False,True,165000,179,4.96,176,34,Facial Wash
lacoco ultimate golden swallow facial foam original  facial wash,Others,332776250,KAB. CIAMIS,False,True,165000,225,4.91,301,24,Facial Wash
lacoco ultimate golden swallow facial foam original facial wash,Others,395102780,KAB. CIAMIS,False,False,165000,107,5.0,37,1,Facial Wash
facial wash,Others,143310066,KAB. BOGOR,False,True,165000,133,4.96,65,11,Facial Wash
bee botanics propolis facial wash gel 250gr,Others,407157827,KOTA JAKARTA BARAT,False,True,164500,32,5.0,75,0,Facial Wash
simple facial wash gel refreshing 150ml,Simple,47255270,KOTA BANDUNG,True,False,163700,85,4.77,2463,285,Facial Wash
paket pembersih wajah jerawat pria his erha acne facial wash + acne essence - sabun + serum bpom,His Erha,121279284,KOTA JAKARTA BARAT,False,True,162104,28,5.0,529,27,Facial Wash
