nama_product,brand,shop_id,shop_city,isOfficial,isVerified,price,terjualCount,ratingAverage,viewCount,likedCount,jenis
bpom nacific phyto niacin whitening essence 50ml,Nacific,9664631,KOTA JAKARTA SELATAN,FALSE,TRUE,147500,9167,4.9,1144,4340,Essence
best seller avoskin phte 100ml perfect hydrating treatment essence,Avoskin,4817033,KOTA BEKASI,FALSE,TRUE,299000,9126,4.95,3145,4035,Essence
natureby essence mask sheet 23g,Others,2940989,KOTA JAKARTA BARAT,FALSE,FALSE,5000,9094,4.84,80,973,Essence
avoskin hte hydrating treatment essense spray,Avoskin,4817033,KOTA BEKASI,FALSE,TRUE,129000,9064,4.93,2167,7292,Essence
laneige white dew original ampoule essence sachet 1ml,Laneige,8442767,KAB. BANDUNG BARAT,FALSE,FALSE,8500,8684,4.93,117,76,Essence
share pyunkang yul essence toner,Pyunkang yul,58042531,KOTA JAKARTA UTARA,FALSE,FALSE,9100,8600,4.91,10959,2167,Essence
esenses eyeliner - waterproof eyeliner - evany eyeliner,Essence,3774076,KOTA SURABAYA,FALSE,TRUE,17000,8574,4.88,6341,977,Essence
bpom lanbena penghilang komedo masker serum wajah skincare perawatan pengecil shrink pore essence moisturizer 17ml,Others,252404855,Luar Negeri,FALSE,TRUE,49236,8456,4.84,5157,8144,Essence
sale ori loreal paris revitalift crystal micro essence water skin care loreal - 65ml 130 ml 22 ml,Others,11025479,KOTA JAKARTA BARAT,FALSE,TRUE,42000,8437,4.89,30672,6858,Essence
sk ii fte 30ml facial treatment essence 30ml,Others,580646,KOTA MADIUN,FALSE,FALSE,255000,8429,4.89,2874,3439,Essence
ms glow deep esence treatment / deep esence ms glow / deep esenve treatment ms glow,MS Glow,177652405,KOTA SURABAYA,FALSE,FALSE,113000,8387,4.82,12913,1267,Essence
serum yu chun mei 30ml emboss timbul di kaca cordyceps serum yuchunmei whitening essence,Others,3398918,KOTA MEDAN,FALSE,FALSE,33800,8201,4.87,3326,285,Essence
safi age defy gold water essence,Safi,4954819,KOTA JAKARTA BARAT,FALSE,TRUE,43120,8185,4.9,1075,3307,Essence
essence,Others,21149207,KOTA PROBOLINGGO,FALSE,FALSE,120000,8143,4.94,1968,328,Essence
natuna aphrodite series serum wajah pure carrier oil detox skincare whitening booster pore essence,Others,84909493,KOTA SURABAYA,FALSE,TRUE,90750,8141,4.89,531,2425,Essence
nacific phyto niacin whitening essence 100% original korea,Nacific,101585010,KOTA JAKARTA BARAT,FALSE,TRUE,117000,8062,4.88,17502,6466,Essence
original wardah serum white secret intense brightening essence pipet 17 ml,Wardah,8175160,KOTA JAKARTA TIMUR,FALSE,FALSE,61000,7968,4.85,1040,2843,Essence
cod cairan essence penumbuh rambut anti rontok,Others,284609396,Luar Negeri,FALSE,FALSE,26273,7793,4.79,25,53,Essence
pandan essens,Others,59403612,KOTA SEMARANG,FALSE,FALSE,24000,7788,4.92,1041,807,Essence
azarine c white series - essence mist body serum,Azarine,3774076,KOTA SURABAYA,FALSE,TRUE,27600,7783,4.87,25238,1281,Essence
rinso molto perfume essence liquid botol 1 liter - perlindungan dari bakteri,Others,14318452,KOTA SURABAYA,TRUE,FALSE,26900,7744,4.89,4153,1424,Essence
pyunkang yul essence toner 100ml / 200ml,Pyunkang yul,275033980,KOTA JAKARTA PUSAT,FALSE,TRUE,89500,7640,4.93,63559,4520,Essence
sk-ii fte 30ml facial treatment essence,Others,3327852,KOTA JAKARTA TIMUR,FALSE,TRUE,255000,7512,4.86,1853,4249,Essence
loreal paris revitalift crystal micro essence 130ml  loreal revitalift essence 65ml,L'Oreal Paris,744873,KOTA JAKARTA SELATAN,FALSE,TRUE,94500,7493,4.92,24121,5018,Essence
everwhite brightening essence serum  niacinamide serum  cica  peptide  milti action  aha bha,Ever White,3327852,KOTA JAKARTA TIMUR,FALSE,TRUE,111150,7477,4.89,3990,4156,Essence
benton snail bee high content essence,Benton,1286003,KOTA JAKARTA TIMUR,FALSE,TRUE,35000,7328,4.9,564,4298,Essence
bioaqua blueberry serum wonder essence wajah body moisturizing essense oil 15m bqy0528,Bioaqua,12495508,KOTA JAKARTA UTARA,FALSE,FALSE,9200,7295,4.65,1932,240,Essence
wardah renew you treatment essence 100 ml,Wardah,59763733,KOTA JAKARTA SELATAN,TRUE,FALSE,152000,7270,4.91,15347,4392,Essence
bio essence bio-gold radiance cleanser 100 gr,Bio Essence,63822287,KOTA JAKARTA UTARA,TRUE,FALSE,57100,7258,4.91,3986,2310,Essence
share pyunkang yul essence toner mist moisture ampoule serum cream balancing gel,Pyunkang Yul,42219256,KOTA JAKARTA TIMUR,FALSE,FALSE,9000,7192,4.86,28465,2408,Essence
loreal paris youth code ferment pre-essence serum skin care - 30ml untuk kulit cerah & kencang,L'Oreal Paris,62579622,KOTA JAKARTA UTARA,TRUE,FALSE,304800,7060,4.92,5863,5830,Essence
cosvie woman hygiene treatment essence premium perawatan miss v aman untuk bumil dan busui,Others,327703489,KOTA JAKARTA PUSAT,FALSE,FALSE,259000,7012,5,91,11,Essence
@55ml pasta perisa pewarna warna wangi essens essence aroma untuk makanan minuman lion brother,Others,17538168,KOTA JAKARTA BARAT,FALSE,TRUE,5200,6967,4.87,318,663,Essence
loreal paris revitalift crystal micro essence  serum skin care - 65 ml & clinical essence - 30 ml,L'Oreal Paris,62579622,KOTA JAKARTA UTARA,TRUE,FALSE,322300,6903,4.93,29849,3339,Essence
loreal paris revitalift crystal micro essence  serum skin care - 65 ml & clinical essence - 30 ml,L'Oreal Paris,62579622,KOTA JAKARTA UTARA,TRUE,FALSE,322300,6903,4.93,29849,3339,Essence
natuna botanical sunflower seeds pure carrier oil serum wajah anti uv whitening booster face essence,Others,84909493,KOTA SURABAYA,FALSE,TRUE,48750,6888,4.92,814,2042,Essence
nacificphyto niacin whitening essence 50ml,Nacific,96763234,Korea Selatan,FALSE,TRUE,217047,6885,4.86,10375,8211,Essence
